,release_date,movie,production_budget,Domestic_Gross_($),Worldwide_Gross_($),distributor,mpaa_rating,genre,year
0,2007-06-22,Evan Almighty,175000000.0,100289690.0,174131329.0,Universal,PG,Comedy,2007
1,1995-07-28,Waterworld,175000000.0,88246220.0,264246220.0,Universal,PG-13,Action,1995
2,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139950708.0,Warner Bros.,PG-13,Adventure,2017
3,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,Universal,PG-13,Action,2013
4,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,416769345.0,1304866322.0,Universal,PG-13,Action,2018
5,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,771051335.0,Walt Disney,PG-13,Action,2014
6,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,Paramount Pictures,PG-13,Action,2010
7,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,Walt Disney,PG-13,Action,2014
8,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,20th Century Fox,PG-13,Adventure,2014
9,2004-11-10,The Polar Express,170000000.0,186493587.0,310634169.0,Warner Bros.,G,Adventure,2004
10,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,Universal,PG-13,Adventure,2012
11,2003-07-01,Terminator 3: Rise of the Machines,170000000.0,150358296.0,433058296.0,Warner Bros.,R,Action,2003
12,2004-05-07,Van Helsing,170000000.0,120150546.0,300150546.0,Universal,PG-13,Action,2004
13,2015-05-22,Tomorrowland,170000000.0,93436322.0,207283457.0,Walt Disney,PG,Adventure,2015
14,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276934087.0,Walt Disney,PG,Adventure,2016
15,2010-05-21,Shrek Forever After,165000000.0,238736787.0,756244673.0,Paramount Pictures,PG,Adventure,2010
16,2016-11-04,Doctor Strange,165000000.0,232641920.0,676486457.0,Walt Disney,PG-13,Action,2016
17,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,Walt Disney,PG,Adventure,2014
18,2010-03-26,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,Paramount Pictures,PG,Adventure,2010
19,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,Walt Disney,PG,Adventure,2012
20,2014-11-05,Interstellar,165000000.0,188017894.0,667752422.0,Paramount Pictures,PG-13,Adventure,2014
21,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384413934.0,20th Century Fox,PG-13,Action,2016
22,2011-07-29,Cowboys and Aliens,163000000.0,100368560.0,176038324.0,Universal,PG-13,Action,2011
23,2007-05-17,Shrek the Third,160000000.0,322719944.0,807330936.0,Paramount Pictures,PG,Adventure,2007
24,2013-05-24,Fast and Furious 6,160000000.0,238679850.0,789300444.0,Universal,PG-13,Action,2013
25,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,20th Century Fox,PG-13,Action,2011
26,2008-12-25,The Curious Case of Benjamin Button,160000000.0,127509326.0,329631958.0,Paramount Pictures,PG-13,Drama,2008
27,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,Walt Disney,PG,Adventure,2010
28,2006-05-12,Poseidon,160000000.0,60674817.0,181674817.0,Warner Bros.,PG-13,Adventure,2006
29,2016-06-10,Warcraft,160000000.0,47225655.0,425547111.0,Universal,PG-13,Action,2016
30,2018-12-21,Aquaman,160000000.0,0.0,0.0,Warner Bros.,PG-13,Action,2018
31,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122631306.0,Lionsgate,PG-13,Drama,2016
32,2015-07-01,Terminator: Genisys,155000000.0,89760956.0,432150894.0,Paramount Pictures,PG-13,Action,2015
33,2018-03-23,Pacific Rim: Uprising,155000000.0,59185715.0,290241338.0,Universal,PG-13,Action,2018
34,2004-11-24,Alexander,155000000.0,34297191.0,167297191.0,Warner Bros.,R,Action,2004
35,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,20th Century Fox,PG-13,Action,2017
36,2001-05-25,Pearl Harbor,151500000.0,198539855.0,449239855.0,Walt Disney,PG-13,Action,2001
37,2007-07-02,Transformers,151000000.0,319246193.0,708272592.0,Paramount Pictures,PG-13,Action,2007
38,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,Warner Bros.,PG-13,Action,2017
